n,Recursive (ns),Iterative (ns)
0,2300,900
1,400,100
2,400,500
3,400,300
4,900,700
5,1400,500
6,900,300
7,1200,300
8,2600,300
9,8000,2500
10,5000,500
11,8100,600
12,10400,500
13,16700,400
14,26400,400
15,42700,400
16,16400,700
17,35600,1200
18,33300,1000
19,62900,1400
20,138600,1300
21,167200,1200
22,239500,1200
23,429700,2400
24,272200,1500
25,425000,1200
26,706300,2400
27,1208900,2400
28,1695200,4300
29,2676200,2800
30,4278800,2800
31,6601300,2900
32,11226100,4200
33,17503600,6400
34,32477200,3600
35,52922000,3300
36,84208600,3200
37,141526700,3600
38,213791000,3000
39,339776300,3400
40,504190500,3000
41,649516300,2400
42,1038068400,2700
43,1703038000,2500
44,2815186500,2900
45,4725639100,2900
46,7759024500,13300
47,12275689100,3100
48,20920237900,2800
49,32847299800,2700
50,51616396200,5100
